id,username,created_at,sentiment,body
107124721,Stockmarketinvesting,2018-01-02 02:38:20 EST-0500,Bullish,$TSLA https://www.youtube.com/watch?v=fEnP6VrvrEo
107124788,jinkang,2018-01-02 02:42:09 EST-0500,,"$TSLA play the technical game on this one, people&#39;s emotions will purely run this, clearly bear but swings can be seen through TA easier"
107124809,jinkang,2018-01-02 02:43:44 EST-0500,,"$TSLA after the head and shoulders dip and the resistance of 300 before, it will probably dip lower to 280ish, then swing a bit back 310-320"
107128390,tradewithjoe,2018-01-02 06:14:09 EST-0500,,"$TSLA Blast from the past on $TSLA. See... I can be a bull when i need to be.  
 
http://www.tradewithjoe.com/watching-tsla-for-a-bounce-trade/ 
 
Will most likely day trade $TSLA this week."
107128400,tradewithjoe,2018-01-02 06:14:27 EST-0500,,Feel 300 is on deck and I love trading that level on $TSLA.
107128465,OTMOptions,2018-01-02 06:16:27 EST-0500,Bullish,"$TSLA 325 05JAN18 call, 2.73.  Target: 340."
107129106,Jay_Stephen,2018-01-02 06:36:12 EST-0500,,@32Trades bags on bags on bags. Cheers Tim. Thank you for all you do. Tear. Great video btw. Just got done $TSLA is F*d. I think ur right.
107129908,StockNews,2018-01-02 06:59:30 EST-0500,,$TSLA Tesla will need to deliver on its promises from 2016 and 2017 if the stock is to rise again this year. https://stocknews.com/news/tsla-tesla-inc-tsla-enters-2018-overvalued-based-on-actual-business/
107130083,rnr12,2018-01-02 07:04:23 EST-0500,,$TSLA - when do we get the deliveries update?
107131910,SIMPLELOGICGL,2018-01-02 07:40:17 EST-0500,Bullish,$TSLA wow delivers 7200 model 3 in this qtr...great news guys keep rocking
107132680,FreeMoneyandFed,2018-01-02 07:53:49 EST-0500,,$TSLA leEco tried to be Tesla and didn&#39;t work out. Hope Tesla doesn&#39;t become LeEco because of Musk&#39;s continued ADHD.
107132807,aaplgreen,2018-01-02 07:55:33 EST-0500,,$TSLA remember last January?  Repeat coming
107132889,FreeMoneyandFed,2018-01-02 07:56:54 EST-0500,,$TSLA in the long run a correction of 10-20% will be good to wake up Musk that execution is more valued than promises and hyperbole.
107132904,AlexanderHandleton,2018-01-02 07:57:08 EST-0500,Bullish,$TSLA still feeling bullish
107135113,daduriver,2018-01-02 08:26:49 EST-0500,,$TSLA I think that 4Q production of Model3 is about 3000. What do you guess?
